primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/9$61$28","add(61, 28)",1,540316,-1
"/phylanx/__add$1/9$62$28","add(62, 28)",1,333270,-1
"/phylanx/__add$10/9$90$26","add(90, 26)",1,67977,-1
"/phylanx/__add$2/9$68$34","add(68, 34)",10,3963323,-1
"/phylanx/__add$3/9$70$52","add(70, 52)",10,1142212,1
"/phylanx/__add$4/9$72$39","add(72, 39)",10,600737,1
"/phylanx/__add$5/9$73$34","add(73, 34)",10,631962,1
"/phylanx/__add$6/9$81$34","add(81, 34)",100,31529699,1
"/phylanx/__add$7/9$83$52","add(83, 52)",100,8787238,1
"/phylanx/__add$8/9$85$39","add(85, 39)",100,5203652,1
"/phylanx/__add$9/9$86$34","add(86, 34)",100,5706327,1
"/phylanx/__lt$0/9$56$16","lt(56, 16)",2,217540,1
"/phylanx/__lt$1/9$64$24","lt(64, 24)",11,1155488,1
"/phylanx/__lt$2/9$77$24","lt(77, 24)",101,9383191,1
"/phylanx/__lt$3/10$95$4","lt(95, 4)",1,530593,-1
"/phylanx/__mul$0/9$32$22","mul(32, 22)",1,164794,-1
"/phylanx/__mul$1/9$61$51","mul(61, 51)",1,72342,-1
"/phylanx/__mul$2/9$62$51","mul(62, 51)",1,116341,-1
"/phylanx/__ne$0/9$67$36","ne(67, 36)",10,631354,1
"/phylanx/__ne$1/9$80$36","ne(80, 36)",100,5301981,1
"/phylanx/access-argument$0$filepath/8$22$25","access-argument/filepath(22, 25)",1,1710,1
"/phylanx/access-argument$1$row_start/8$22$41","access-argument/row_start(22, 41)",1,1576,1
"/phylanx/access-argument$10$num_factors/9$44$42","access-argument/num_factors(44, 42)",1,584,1
"/phylanx/access-argument$11$num_factors/9$45$30","access-argument/num_factors(45, 30)",1,4725,1
"/phylanx/access-argument$12$num_factors/9$52$40","access-argument/num_factors(52, 40)",1,1661,1
"/phylanx/access-argument$13$num_factors/9$52$53","access-argument/num_factors(52, 53)",1,204,1
"/phylanx/access-argument$14$num_factors/9$53$40","access-argument/num_factors(53, 40)",1,1621,1
"/phylanx/access-argument$15$num_factors/9$53$53","access-argument/num_factors(53, 53)",1,396,1
"/phylanx/access-argument$16$num_factors/9$54$38","access-argument/num_factors(54, 38)",1,944,1
"/phylanx/access-argument$17$num_factors/9$54$51","access-argument/num_factors(54, 51)",1,241,1
"/phylanx/access-argument$18$num_factors/9$55$38","access-argument/num_factors(55, 38)",1,1165,1
"/phylanx/access-argument$19$iterations/9$56$20","access-argument/iterations(56, 20)",2,2766,1
"/phylanx/access-argument$2$row_stop/8$22$52","access-argument/row_stop(22, 52)",1,438,1
"/phylanx/access-argument$20$enable_output/9$57$23","access-argument/enable_output(57, 23)",1,1356,1
"/phylanx/access-argument$21$regularization/9$61$51","access-argument/regularization(61, 51)",1,1549,1
"/phylanx/access-argument$22$regularization/9$62$51","access-argument/regularization(62, 51)",1,1818,1
"/phylanx/access-argument$3$col_start/8$23$14","access-argument/col_start(23, 14)",1,1824,1
"/phylanx/access-argument$4$col_stop/8$23$25","access-argument/col_stop(23, 25)",1,488,1
"/phylanx/access-argument$5$filepath/9$29$32","access-argument/filepath(29, 32)",1,914,1
"/phylanx/access-argument$6$row_stop/9$29$45","access-argument/row_stop(29, 45)",1,2114,1
"/phylanx/access-argument$7$col_stop/9$29$58","access-argument/col_stop(29, 58)",1,322,1
"/phylanx/access-argument$8$alpha/9$32$22","access-argument/alpha(32, 22)",1,1734,1
"/phylanx/access-argument$9$num_factors/9$43$42","access-argument/num_factors(43, 42)",1,641,1
"/phylanx/access-function$0$als/10$100$11","access-function/als(100, 11)",1,1234,1
"/phylanx/access-function$0$read_r/9$29$25","access-function/read_r(29, 25)",1,1234,1
"/phylanx/access-variable$0$ratings/9$30$33","access-variable/ratings(30, 33)",1,8218,1
"/phylanx/access-variable$1$ratings/9$31$33","access-variable/ratings(31, 33)",1,8051,1
"/phylanx/access-variable$10$num_users/9$40$40","access-variable/num_users(40, 40)",1,5554,1
"/phylanx/access-variable$11$num_users/9$43$31","access-variable/num_users(43, 31)",1,6102,1
"/phylanx/access-variable$12$num_items/9$44$31","access-variable/num_items(44, 31)",1,10113,1
"/phylanx/access-variable$13$num_items/9$46$30","access-variable/num_items(46, 30)",1,14679,1
"/phylanx/access-variable$14$num_users/9$47$30","access-variable/num_users(47, 30)",1,6607,1
"/phylanx/access-variable$15$k/9$56$16","access-variable/k(56, 16)",2,17636,1
"/phylanx/access-variable$16$k/9$58$48","access-variable/k(58, 48)",0,0,1
"/phylanx/access-variable$17$X/9$59$39","access-variable/X(59, 39)",0,0,1
"/phylanx/access-variable$18$Y/9$60$39","access-variable/Y(60, 39)",0,0,1
"/phylanx/access-variable$19$YtY/9$61$23","access-variable/YtY(61, 23)",0,0,1
"/phylanx/access-variable$2$ratings/9$32$29","access-variable/ratings(32, 29)",1,5325,1
"/phylanx/access-variable$20$Y/9$61$42","access-variable/Y(61, 42)",1,5614,1
"/phylanx/access-variable$21$Y/9$61$46","access-variable/Y(61, 46)",1,6519,1
"/phylanx/access-variable$22$I_f/9$61$68","access-variable/I_f(61, 68)",1,5156,1
"/phylanx/access-variable$23$XtX/9$62$23","access-variable/XtX(62, 23)",0,0,1
"/phylanx/access-variable$24$X/9$62$42","access-variable/X(62, 42)",1,7402,1
"/phylanx/access-variable$25$X/9$62$46","access-variable/X(62, 46)",1,6902,1
"/phylanx/access-variable$26$I_f/9$62$68","access-variable/I_f(62, 68)",1,7784,1
"/phylanx/access-variable$27$u/9$64$24","access-variable/u(64, 24)",11,74801,1
"/phylanx/access-variable$28$num_users/9$64$28","access-variable/num_users(64, 28)",11,57908,1
"/phylanx/access-variable$29$conf_u/9$65$33","access-variable/conf_u(65, 33)",0,0,1
"/phylanx/access-variable$3$num_items/9$34$43","access-variable/num_items(34, 43)",1,7766,1
"/phylanx/access-variable$30$conf/9$65$51","access-variable/conf(65, 51)",10,69132,1
"/phylanx/access-variable$31$u/9$65$57","access-variable/u(65, 57)",10,61320,1
"/phylanx/access-variable$32$c_u/9$66$31","access-variable/c_u(66, 31)",0,0,1
"/phylanx/access-variable$33$conf_u/9$66$41","access-variable/conf_u(66, 41)",10,52650,1
"/phylanx/access-variable$34$p_u/9$67$31","access-variable/p_u(67, 31)",0,0,1
"/phylanx/access-variable$35$conf_u/9$67$41","access-variable/conf_u(67, 41)",10,58509,1
"/phylanx/access-variable$36$A/9$68$31","access-variable/A(68, 31)",0,0,1
"/phylanx/access-variable$37$Y/9$68$52","access-variable/Y(68, 52)",10,64269,1
"/phylanx/access-variable$38$c_u/9$68$56","access-variable/c_u(68, 56)",10,57996,1
"/phylanx/access-variable$39$Y/9$68$62","access-variable/Y(68, 62)",10,56424,1
"/phylanx/access-variable$4$num_users/9$35$43","access-variable/num_users(35, 43)",1,7809,1
"/phylanx/access-variable$40$YtY/9$68$67","access-variable/YtY(68, 67)",10,56479,1
"/phylanx/access-variable$41$b/9$69$31","access-variable/b(69, 31)",0,0,1
"/phylanx/access-variable$42$Y/9$70$47","access-variable/Y(70, 47)",10,71271,1
"/phylanx/access-variable$43$c_u/9$70$52","access-variable/c_u(70, 52)",10,52134,1
"/phylanx/access-variable$44$I_i/9$70$58","access-variable/I_i(70, 58)",10,59744,1
"/phylanx/access-variable$45$p_u/9$71$43","access-variable/p_u(71, 43)",10,75578,1
"/phylanx/access-variable$46$X/9$72$33","access-variable/X(72, 33)",10,67777,1
"/phylanx/access-variable$47$u/9$72$36","access-variable/u(72, 36)",10,53646,1
"/phylanx/access-variable$48$u/9$72$39","access-variable/u(72, 39)",10,86450,1
"/phylanx/access-variable$49$A/9$72$61","access-variable/A(72, 61)",10,56938,1
"/phylanx/access-variable$5$num_items/9$37$40","access-variable/num_items(37, 40)",1,5769,1
"/phylanx/access-variable$50$b/9$72$65","access-variable/b(72, 65)",10,65939,1
"/phylanx/access-variable$51$u/9$73$31","access-variable/u(73, 31)",0,0,1
"/phylanx/access-variable$52$u/9$73$34","access-variable/u(73, 34)",10,67295,1
"/phylanx/access-variable$53$u/9$76$23","access-variable/u(76, 23)",0,0,1
"/phylanx/access-variable$54$i/9$77$24","access-variable/i(77, 24)",101,546925,1
"/phylanx/access-variable$55$num_items/9$77$28","access-variable/num_items(77, 28)",101,547043,1
"/phylanx/access-variable$56$conf_i/9$78$33","access-variable/conf_i(78, 33)",0,0,1
"/phylanx/access-variable$57$conf/9$78$54","access-variable/conf(78, 54)",100,536851,1
"/phylanx/access-variable$58$i/9$78$60","access-variable/i(78, 60)",100,536651,1
"/phylanx/access-variable$59$c_i/9$79$31","access-variable/c_i(79, 31)",0,0,1
"/phylanx/access-variable$6$num_items/9$37$51","access-variable/num_items(37, 51)",1,4504,1
"/phylanx/access-variable$60$conf_i/9$79$41","access-variable/conf_i(79, 41)",100,560980,1
"/phylanx/access-variable$61$p_i/9$80$31","access-variable/p_i(80, 31)",0,0,1
"/phylanx/access-variable$62$conf_i/9$80$41","access-variable/conf_i(80, 41)",100,573600,1
"/phylanx/access-variable$63$A/9$81$31","access-variable/A(81, 31)",0,0,1
"/phylanx/access-variable$64$X/9$81$52","access-variable/X(81, 52)",100,689278,1
"/phylanx/access-variable$65$c_i/9$81$56","access-variable/c_i(81, 56)",100,489448,1
"/phylanx/access-variable$66$X/9$81$62","access-variable/X(81, 62)",100,512558,1
"/phylanx/access-variable$67$XtX/9$81$67","access-variable/XtX(81, 67)",100,445655,1
"/phylanx/access-variable$68$b/9$82$31","access-variable/b(82, 31)",0,0,1
"/phylanx/access-variable$69$X/9$83$47","access-variable/X(83, 47)",100,551601,1
"/phylanx/access-variable$7$num_users/9$38$40","access-variable/num_users(38, 40)",1,11961,1
"/phylanx/access-variable$70$c_i/9$83$52","access-variable/c_i(83, 52)",100,439386,1
"/phylanx/access-variable$71$I_u/9$83$58","access-variable/I_u(83, 58)",100,487790,1
"/phylanx/access-variable$72$p_i/9$84$43","access-variable/p_i(84, 43)",100,527988,1
"/phylanx/access-variable$73$Y/9$85$33","access-variable/Y(85, 33)",100,572627,1
"/phylanx/access-variable$74$i/9$85$36","access-variable/i(85, 36)",100,480325,1
"/phylanx/access-variable$75$i/9$85$39","access-variable/i(85, 39)",100,832295,1
"/phylanx/access-variable$76$A/9$85$61","access-variable/A(85, 61)",100,504116,1
"/phylanx/access-variable$77$b/9$85$65","access-variable/b(85, 65)",100,495745,1
"/phylanx/access-variable$78$i/9$86$31","access-variable/i(86, 31)",0,0,1
"/phylanx/access-variable$79$i/9$86$34","access-variable/i(86, 34)",100,575359,1
"/phylanx/access-variable$8$num_users/9$38$51","access-variable/num_users(38, 51)",1,5556,1
"/phylanx/access-variable$80$i/9$89$23","access-variable/i(89, 23)",0,0,1
"/phylanx/access-variable$81$k/9$90$23","access-variable/k(90, 23)",0,0,1
"/phylanx/access-variable$82$k/9$90$26","access-variable/k(90, 26)",1,6878,1
"/phylanx/access-variable$83$X/9$91$14","access-variable/X(91, 14)",1,9214,1
"/phylanx/access-variable$84$Y/9$91$17","access-variable/Y(91, 17)",1,5092,1
"/phylanx/access-variable$85$sys_argv/10$95$8","access-variable/sys_argv(95, 8)",1,14372,1
"/phylanx/access-variable$86$sys_argv/10$100$16","access-variable/sys_argv(100, 16)",1,14078,1
"/phylanx/access-variable$9$num_items/9$39$40","access-variable/num_items(39, 40)",1,3440,1
"/phylanx/apply$0/10$100$5","apply(100, 5)",1,471864264,-1
"/phylanx/block$0/9$28$5","block(28, 5)",1,471499219,-1
"/phylanx/block$1/9$57$13","block(57, 13)",1,266469828,-1
"/phylanx/block$2/9$58$23","block(58, 23)",0,0,-1
