primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/0$44$32","add(44, 32)",1,25995507,-1
"/phylanx/__add$1/0$45$32","add(45, 32)",1,821954,-1
"/phylanx/__add$10/0$71$30","add(71, 30)",1,14277,-1
"/phylanx/__add$2/0$52$38","add(52, 38)",700,195736045227,0
"/phylanx/__add$3/0$53$60","add(53, 60)",700,133406021722,0
"/phylanx/__add$4/0$54$52","add(54, 52)",700,11015425,1
"/phylanx/__add$5/0$55$38","add(55, 38)",700,13060441,1
"/phylanx/__add$6/0$64$38","add(64, 38)",20000,16338370442,0
"/phylanx/__add$7/0$65$60","add(65, 60)",20000,4377804256,1
"/phylanx/__add$8/0$66$52","add(66, 52)",20000,146919478,1
"/phylanx/__add$9/0$67$38","add(67, 38)",20000,128808299,1
"/phylanx/__lt$0/0$35$19","lt(35, 19)",2,192435,1
"/phylanx/__lt$1/0$47$27","lt(47, 27)",701,18246853,1
"/phylanx/__lt$2/0$59$27","lt(59, 27)",20001,204665735,1
"/phylanx/__mul$0/0$10$26","mul(10, 26)",1,10325480,-1
"/phylanx/__mul$1/0$44$55","mul(44, 55)",1,57120,-1
"/phylanx/__mul$2/0$45$55","mul(45, 55)",1,56072,-1
"/phylanx/__ne$0/0$51$40","ne(51, 40)",700,147497588,1
"/phylanx/__ne$1/0$63$40","ne(63, 40)",20000,311175354,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,1236,1
"/phylanx/access-argument$1$row_start/0$6$50","access-argument/row_start(6, 50)",1,4318,1
"/phylanx/access-argument$10$num_factors/0$22$51","access-argument/num_factors(22, 51)",1,883,1
"/phylanx/access-argument$11$num_factors/0$23$34","access-argument/num_factors(23, 34)",1,976,1
"/phylanx/access-argument$12$num_factors/0$30$49","access-argument/num_factors(30, 49)",1,1533,1
"/phylanx/access-argument$13$num_factors/0$30$62","access-argument/num_factors(30, 62)",1,190,1
"/phylanx/access-argument$14$num_factors/0$31$49","access-argument/num_factors(31, 49)",1,5040,1
"/phylanx/access-argument$15$num_factors/0$31$62","access-argument/num_factors(31, 62)",1,307,1
"/phylanx/access-argument$16$num_factors/0$32$47","access-argument/num_factors(32, 47)",1,920,1
"/phylanx/access-argument$17$num_factors/0$32$60","access-argument/num_factors(32, 60)",1,373,1
"/phylanx/access-argument$18$num_factors/0$33$47","access-argument/num_factors(33, 47)",1,1100,1
"/phylanx/access-argument$19$iterations/0$35$23","access-argument/iterations(35, 23)",2,2243,1
"/phylanx/access-argument$2$row_stop/0$6$62","access-argument/row_stop(6, 62)",1,413,1
"/phylanx/access-argument$20$enable_output/0$37$24","access-argument/enable_output(37, 24)",1,1113,1
"/phylanx/access-argument$21$regularization/0$44$55","access-argument/regularization(44, 55)",1,1403,1
"/phylanx/access-argument$22$regularization/0$45$55","access-argument/regularization(45, 55)",1,2572,1
"/phylanx/access-argument$3$col_start/0$7$25","access-argument/col_start(7, 25)",1,5345,1
"/phylanx/access-argument$4$col_stop/0$7$37","access-argument/col_stop(7, 37)",1,414,1
"/phylanx/access-argument$5$ratings/0$8$37","access-argument/ratings(8, 37)",1,2306,1
"/phylanx/access-argument$6$ratings/0$9$37","access-argument/ratings(9, 37)",1,21552,1
"/phylanx/access-argument$7$alpha/0$10$26","access-argument/alpha(10, 26)",1,18780,1
"/phylanx/access-argument$8$ratings/0$10$34","access-argument/ratings(10, 34)",1,720,1
"/phylanx/access-argument$9$num_factors/0$21$51","access-argument/num_factors(21, 51)",1,1504,1
"/phylanx/access-function$0$als_explicit/1$77$5","access-function/als_explicit(77, 5)",1,798,1
"/phylanx/access-function$0$read_x/1$9$5","access-function/read_x(9, 5)",1,798,1
"/phylanx/access-variable$0$num_items/0$12$52","access-variable/num_items(12, 52)",1,28659,1
"/phylanx/access-variable$1$num_users/0$13$52","access-variable/num_users(13, 52)",1,9566,1
"/phylanx/access-variable$10$num_items/0$24$34","access-variable/num_items(24, 34)",1,8232,1
"/phylanx/access-variable$11$num_users/0$25$34","access-variable/num_users(25, 34)",1,5563,1
"/phylanx/access-variable$12$k/0$35$19","access-variable/k(35, 19)",2,12947,1
"/phylanx/access-variable$13$k/0$39$56","access-variable/k(39, 56)",0,0,1
"/phylanx/access-variable$14$u/0$39$59","access-variable/u(39, 59)",0,0,1
"/phylanx/access-variable$15$X/0$40$48","access-variable/X(40, 48)",0,0,1
"/phylanx/access-variable$16$Y/0$41$48","access-variable/Y(41, 48)",0,0,1
"/phylanx/access-variable$17$YtY/0$44$27","access-variable/YtY(44, 27)",0,0,1
"/phylanx/access-variable$18$Y/0$44$46","access-variable/Y(44, 46)",1,14810,1
"/phylanx/access-variable$19$Y/0$44$50","access-variable/Y(44, 50)",1,6157,1
"/phylanx/access-variable$2$num_items/0$15$49","access-variable/num_items(15, 49)",1,5440,1
"/phylanx/access-variable$20$I_f/0$44$72","access-variable/I_f(44, 72)",1,2260,1
"/phylanx/access-variable$21$XtX/0$45$27","access-variable/XtX(45, 27)",0,0,1
"/phylanx/access-variable$22$X/0$45$46","access-variable/X(45, 46)",1,12977,1
"/phylanx/access-variable$23$X/0$45$50","access-variable/X(45, 50)",1,10316,1
"/phylanx/access-variable$24$I_f/0$45$72","access-variable/I_f(45, 72)",1,3037,1
"/phylanx/access-variable$25$u/0$47$27","access-variable/u(47, 27)",701,1131642,1
"/phylanx/access-variable$26$num_users/0$47$31","access-variable/num_users(47, 31)",701,872874,1
"/phylanx/access-variable$27$conf_u/0$49$35","access-variable/conf_u(49, 35)",0,0,1
"/phylanx/access-variable$28$conf/0$49$53","access-variable/conf(49, 53)",700,1127624,1
"/phylanx/access-variable$29$u/0$49$59","access-variable/u(49, 59)",700,337983,1
"/phylanx/access-variable$3$num_items/0$15$60","access-variable/num_items(15, 60)",1,414,1
"/phylanx/access-variable$30$c_u/0$50$35","access-variable/c_u(50, 35)",0,0,1
"/phylanx/access-variable$31$conf_u/0$50$45","access-variable/conf_u(50, 45)",700,4540239,1
"/phylanx/access-variable$32$p_u/0$51$35","access-variable/p_u(51, 35)",0,0,1
"/phylanx/access-variable$33$conf_u/0$51$45","access-variable/conf_u(51, 45)",700,1975056,1
"/phylanx/access-variable$34$A/0$52$35","access-variable/A(52, 35)",0,0,1
"/phylanx/access-variable$35$Y/0$52$56","access-variable/Y(52, 56)",700,7398698,1
"/phylanx/access-variable$36$c_u/0$52$60","access-variable/c_u(52, 60)",700,7083011,1
"/phylanx/access-variable$37$Y/0$52$66","access-variable/Y(52, 66)",700,7631507,1
"/phylanx/access-variable$38$YtY/0$52$70","access-variable/YtY(52, 70)",700,7133447,1
"/phylanx/access-variable$39$b/0$53$35","access-variable/b(53, 35)",0,0,1
"/phylanx/access-variable$4$num_users/0$16$49","access-variable/num_users(16, 49)",1,6358,1
"/phylanx/access-variable$40$Y/0$53$56","access-variable/Y(53, 56)",700,6097560,1
"/phylanx/access-variable$41$c_u/0$53$60","access-variable/c_u(53, 60)",700,7222649,1
"/phylanx/access-variable$42$I_i/0$53$66","access-variable/I_i(53, 66)",700,571638,1
"/phylanx/access-variable$43$p_u/0$53$83","access-variable/p_u(53, 83)",700,2557201,1
"/phylanx/access-variable$44$u/0$54$49","access-variable/u(54, 49)",700,1490194,1
"/phylanx/access-variable$45$u/0$54$52","access-variable/u(54, 52)",700,289226,1
"/phylanx/access-variable$46$X/0$54$41","access-variable/X(54, 41)",0,0,1
"/phylanx/access-variable$47$A/0$54$80","access-variable/A(54, 80)",700,6065563,1
"/phylanx/access-variable$48$b/0$54$84","access-variable/b(54, 84)",700,752876,1
"/phylanx/access-variable$49$u/0$55$35","access-variable/u(55, 35)",0,0,1
"/phylanx/access-variable$5$num_users/0$16$60","access-variable/num_users(16, 60)",1,353,1
"/phylanx/access-variable$50$u/0$55$38","access-variable/u(55, 38)",700,1064949,1
"/phylanx/access-variable$51$u/0$58$27","access-variable/u(58, 27)",0,0,1
"/phylanx/access-variable$52$i/0$59$27","access-variable/i(59, 27)",20001,20497186,1
"/phylanx/access-variable$53$num_items/0$59$31","access-variable/num_items(59, 31)",20001,14075609,1
"/phylanx/access-variable$54$conf_i/0$61$35","access-variable/conf_i(61, 35)",0,0,1
"/phylanx/access-variable$55$conf/0$61$56","access-variable/conf(61, 56)",20000,15436814,1
"/phylanx/access-variable$56$i/0$61$62","access-variable/i(61, 62)",20000,7189422,1
"/phylanx/access-variable$57$c_i/0$62$35","access-variable/c_i(62, 35)",0,0,1
"/phylanx/access-variable$58$conf_i/0$62$45","access-variable/conf_i(62, 45)",20000,88166742,1
"/phylanx/access-variable$59$p_i/0$63$35","access-variable/p_i(63, 35)",0,0,1
"/phylanx/access-variable$6$num_items/0$17$49","access-variable/num_items(17, 49)",1,17900,1
"/phylanx/access-variable$60$conf_i/0$63$45","access-variable/conf_i(63, 45)",20000,19377830,1
"/phylanx/access-variable$61$A/0$64$35","access-variable/A(64, 35)",0,0,1
"/phylanx/access-variable$62$X/0$64$56","access-variable/X(64, 56)",20000,24871144,1
"/phylanx/access-variable$63$c_i/0$64$59","access-variable/c_i(64, 59)",20000,11842504,1
"/phylanx/access-variable$64$X/0$64$65","access-variable/X(64, 65)",20000,97256405,1
"/phylanx/access-variable$65$XtX/0$64$70","access-variable/XtX(64, 70)",20000,89286690,1
"/phylanx/access-variable$66$b/0$65$35","access-variable/b(65, 35)",0,0,1
"/phylanx/access-variable$67$X/0$65$56","access-variable/X(65, 56)",20000,25011041,1
"/phylanx/access-variable$68$c_i/0$65$60","access-variable/c_i(65, 60)",20000,12265127,1
"/phylanx/access-variable$69$I_u/0$65$66","access-variable/I_u(65, 66)",20000,5735116,1
"/phylanx/access-variable$7$num_users/0$18$49","access-variable/num_users(18, 49)",1,9503,1
"/phylanx/access-variable$70$p_i/0$65$83","access-variable/p_i(65, 83)",20000,24763948,1
"/phylanx/access-variable$71$i/0$66$49","access-variable/i(66, 49)",20000,18583591,1
"/phylanx/access-variable$72$i/0$66$52","access-variable/i(66, 52)",20000,5078285,1
"/phylanx/access-variable$73$Y/0$66$41","access-variable/Y(66, 41)",0,0,1
"/phylanx/access-variable$74$A/0$66$80","access-variable/A(66, 80)",20000,89574759,1
"/phylanx/access-variable$75$b/0$66$84","access-variable/b(66, 84)",20000,13655714,1
"/phylanx/access-variable$76$i/0$67$35","access-variable/i(67, 35)",0,0,1
"/phylanx/access-variable$77$i/0$67$38","access-variable/i(67, 38)",20000,13250713,1
