primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/2$19$40","add(19, 40)",750,101324038,1
"/phylanx/__add$1/2$21$33","add(21, 33)",750,23825474,1
"/phylanx/__div$0/2$19$33","div(19, 33)",750,107660492,1
"/phylanx/__lt$0/2$15$17","lt(15, 17)",751,10581949,1
"/phylanx/__minus$0/2$19$51","minus(19, 51)",750,77192115,1
"/phylanx/__mul$0/2$20$47","mul(20, 47)",750,38988463,1
"/phylanx/__sub$0/2$20$36","sub(20, 36)",750,48919754,1
"/phylanx/__sub$1/2$20$67","sub(20, 67)",750,14142534,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,830,1
"/phylanx/access-argument$1$row_start/0$7$25","access-argument/row_start(7, 25)",1,5420,1
"/phylanx/access-argument$10$x/2$11$38","access-argument/x(11, 38)",1,1356,1
"/phylanx/access-argument$11$x/2$12$46","access-argument/x(12, 46)",1,1345,1
"/phylanx/access-argument$12$iterations/2$15$24","access-argument/iterations(15, 24)",751,398499,1
"/phylanx/access-argument$13$enable_output/2$17$24","access-argument/enable_output(17, 24)",750,472652,1
"/phylanx/access-argument$14$x/2$19$55","access-argument/x(19, 55)",750,1201923,1
"/phylanx/access-argument$15$alpha/2$20$47","access-argument/alpha(20, 47)",750,413316,1
"/phylanx/access-argument$16$y/2$20$74","access-argument/y(20, 74)",750,189968,1
"/phylanx/access-argument$2$row_stop/0$7$36","access-argument/row_stop(7, 36)",1,472,1
"/phylanx/access-argument$3$col_start/0$8$25","access-argument/col_start(8, 25)",1,704,1
"/phylanx/access-argument$4$col_stop/0$8$36","access-argument/col_stop(8, 36)",1,284,1
"/phylanx/access-argument$5$filepath/1$6$29","access-argument/filepath(6, 29)",1,313,1
"/phylanx/access-argument$6$row_start/1$6$50","access-argument/row_start(6, 50)",1,620,1
"/phylanx/access-argument$7$row_stop/1$6$61","access-argument/row_stop(6, 61)",1,213,1
"/phylanx/access-argument$8$col_stop/1$6$72","access-argument/col_stop(6, 72)",1,716,1
"/phylanx/access-argument$9$x/2$10$49","access-argument/x(10, 49)",1,876,1
"/phylanx/access-function$0$read_x/0$10$5","access-function/read_x(10, 5)",1,431,1
"/phylanx/access-function$1$read_y/1$8$5","access-function/read_y(8, 5)",1,165,1
"/phylanx/access-function$2$lra_explicit/2$27$5","access-function/lra_explicit(27, 5)",1,155,1
"/phylanx/access-variable$0$step/2$15$17","access-variable/step(15, 17)",751,808964,1
"/phylanx/access-variable$1$step/2$17$54","access-variable/step(17, 54)",0,0,1
"/phylanx/access-variable$10$step/2$21$33","access-variable/step(21, 33)",750,723557,1
"/phylanx/access-variable$11$weights/2$24$13","access-variable/weights(24, 13)",1,3913,1
"/phylanx/access-variable$2$weights/2$17$66","access-variable/weights(17, 66)",0,0,1
"/phylanx/access-variable$3$pred/2$19$27","access-variable/pred(19, 27)",0,0,1
"/phylanx/access-variable$4$weights/2$19$58","access-variable/weights(19, 58)",750,788997,1
"/phylanx/access-variable$5$weights/2$20$27","access-variable/weights(20, 27)",0,0,1
"/phylanx/access-variable$6$weights/2$20$36","access-variable/weights(20, 36)",750,832101,1
"/phylanx/access-variable$7$transx/2$20$59","access-variable/transx(20, 59)",750,1065337,1
"/phylanx/access-variable$8$pred/2$20$67","access-variable/pred(20, 67)",750,778825,1
"/phylanx/access-variable$9$step/2$21$27","access-variable/step(21, 27)",0,0,1
"/phylanx/block$0/0$1$1","block(1, 1)",1,40760,-1
"/phylanx/block$1/1$1$1","block(1, 1)",1,4103,-1
"/phylanx/block$2/2$1$1","block(1, 1)",1,2911,-1
"/phylanx/block$3/2$9$9","block(9, 9)",1,280813656,-1
"/phylanx/block$4/2$16$17","block(16, 17)",750,264714560,-1
"/phylanx/constant$0/2$10$29","constant(10, 29)",1,111055,-1
"/phylanx/constant$1/2$12$26","constant(12, 26)",1,67848,-1
"/phylanx/cout$0/2$17$39","cout(17, 39)",0,0,-1
"/phylanx/define-variable$0$read_x/0$5$12","define-variable/read_x(5, 12)",1,8410,-1
"/phylanx/define-variable$1$read_y/1$5$12","define-variable/read_y(5, 12)",1,531,-1
"/phylanx/define-variable$2$weights/2$10$20","define-variable/weights(10, 20)",1,163058,-1
"/phylanx/define-variable$3$transx/2$11$20","define-variable/transx(11, 20)",1,99887,-1
"/phylanx/define-variable$4$pred/2$12$20","define-variable/pred(12, 20)",1,92713,-1
"/phylanx/define-variable$5$step/2$13$20","define-variable/step(13, 20)",1,5871,-1
"/phylanx/define-variable$6$lra_explicit/2$8$12","define-variable/lra_explicit(8, 12)",1,300,-1
"/phylanx/dot$0/2$19$51","dot(19, 51)",750,67598604,1
"/phylanx/dot$1/2$20$55","dot(20, 55)",750,28983401,1
"/phylanx/exp$0/2$19$46","exp(19, 46)",750,94319225,1
"/phylanx/file_read_csv$0/0$6$15","file_read_csv(6, 15)",1,19665553,-1
"/phylanx/file_read_csv$1/1$6$15","file_read_csv(6, 15)",1,3808634,-1
"/phylanx/function$0$read_x/0$5$12","function/read_x(5, 12)",1,19865043,1
"/phylanx/function$1$read_y/1$5$12","function/read_y(5, 12)",1,3914730,1
"/phylanx/function$2$lra_explicit/2$8$12","function/lra_explicit(8, 12)",1,280862335,1
"/phylanx/if$0/2$17$21","if(17, 21)",750,9595603,1
"/phylanx/lambda$0/0$5$12","lambda(5, 12)",1,19837139,-1
"/phylanx/lambda$1/1$5$12","lambda(5, 12)",1,3895683,-1
"/phylanx/lambda$2/2$8$12","lambda(8, 12)",1,280844368,-1
"/phylanx/make_list$0/0$7$15","make_list(7, 15)",1,84035,-1
"/phylanx/make_list$1/0$8$15","make_list(8, 15)",1,58095,-1
"/phylanx/make_list$2/1$6$40","make_list(6, 40)",1,28222,-1
"/phylanx/shape$0/2$10$43","shape(10, 43)",1,38038,-1
"/phylanx/shape$1/2$12$40","shape(12, 40)",1,29554,-1
"/phylanx/slice$0/0$6$9","slice(6, 9)",1,19731606,-1
"/phylanx/slice$1/1$6$9","slice(6, 9)",1,3870392,-1
"/phylanx/store$0/2$19$21","store(19, 21)",750,128476353,1
"/phylanx/store$1/2$20$21","store(20, 21)",750,65631457,1
"/phylanx/store$2/2$21$21","store(21, 21)",750,39518846,1
"/phylanx/transpose$0/2$11$28","transpose(11, 28)",1,75129,-1
"/phylanx/variable$0$weights/2$10$20","variable/weights(10, 20)",1501,685611,1
"/phylanx/variable$1$transx/2$11$20","variable/transx(11, 20)",750,662190,1
"/phylanx/variable$2$pred/2$12$20","variable/pred(12, 20)",750,209177,1
"/phylanx/variable$3$step/2$13$20","variable/step(13, 20)",1501,670149,1
"/phylanx/while$0/2$14$13","while(14, 13)",1,280292036,-1
