primitive_instance,display_name,count,time,direct_count,direct_time
"/phylanx/__add$0/1$6$71","__add(6, 71)",1,301271,0,0
"/phylanx/__add$1/2$21$40","__add(21, 40)",750,1713363004,0,0
"/phylanx/__add$2/2$26$37","__add(26, 37)",750,874615869,0,0
"/phylanx/__div$0/2$21$33","__div(21, 33)",750,1890870611,0,0
"/phylanx/__lt$0/2$17$17","__lt(17, 17)",751,597555149,0,0
"/phylanx/__minus$0/2$21$51","__minus(21, 51)",750,1361083947,0,0
"/phylanx/__mul$0/2$25$51","__mul(25, 51)",750,1436040581,0,0
"/phylanx/__sub$0/2$22$34","__sub(22, 34)",750,664060781,0,0
"/phylanx/__sub$1/2$25$40","__sub(25, 40)",750,1907630123,0,0
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",0,0,1,3220
"/phylanx/access-argument$1$row_start/0$6$40","access-argument/row_start(6, 40)",1,6282,0,0
"/phylanx/access-argument$10$x/2$10$49","access-argument/x(10, 49)",1,28914,0,0
"/phylanx/access-argument$11$x/2$11$38","access-argument/x(11, 38)",1,17233,0,0
"/phylanx/access-argument$12$x/2$12$46","access-argument/x(12, 46)",1,15681,0,0
"/phylanx/access-argument$13$x/2$13$47","access-argument/x(13, 47)",1,15382,0,0
"/phylanx/access-argument$14$x/2$14$50","access-argument/x(14, 50)",1,15466,0,0
"/phylanx/access-argument$15$iterations/2$17$24","access-argument/iterations(17, 24)",751,3933827,0,0
"/phylanx/access-argument$16$enable_output/2$19$24","access-argument/enable_output(19, 24)",750,7706002,0,0
"/phylanx/access-argument$17$x/2$21$55","access-argument/x(21, 55)",750,11140734,0,0
"/phylanx/access-argument$18$y/2$22$41","access-argument/y(22, 41)",750,10101049,0,0
"/phylanx/access-argument$19$alpha/2$25$51","access-argument/alpha(25, 51)",750,8806095,0,0
"/phylanx/access-argument$2$row_stop/0$6$51","access-argument/row_stop(6, 51)",1,5906,0,0
"/phylanx/access-argument$3$col_start/0$6$61","access-argument/col_start(6, 61)",1,4687,0,0
"/phylanx/access-argument$4$col_stop/0$6$72","access-argument/col_stop(6, 72)",1,4829,0,0
"/phylanx/access-argument$5$filepath/1$6$29","access-argument/filepath(6, 29)",0,0,1,1115
"/phylanx/access-argument$6$row_start/1$6$40","access-argument/row_start(6, 40)",1,5999,0,0
"/phylanx/access-argument$7$row_stop/1$6$51","access-argument/row_stop(6, 51)",1,5206,0,0
"/phylanx/access-argument$8$col_stop/1$6$61","access-argument/col_stop(6, 61)",1,4979,0,0
"/phylanx/access-argument$9$col_stop/1$6$71","access-argument/col_stop(6, 71)",1,5880,0,0
"/phylanx/access-variable$0$step/2$17$17","access-variable/step(17, 17)",751,383067107,0,0
"/phylanx/access-variable$1$step/2$19$54","access-variable/step(19, 54)",0,0,0,0
"/phylanx/access-variable$10$weights/2$25$31","access-variable/weights(25, 31)",0,0,0,0
"/phylanx/access-variable$11$weights/2$25$40","access-variable/weights(25, 40)",750,1104294050,0,0
"/phylanx/access-variable$12$gradient/2$25$59","access-variable/gradient(25, 59)",750,908235508,0,0
"/phylanx/access-variable$13$step/2$26$31","access-variable/step(26, 31)",0,0,0,0
"/phylanx/access-variable$14$step/2$26$37","access-variable/step(26, 37)",750,397764075,0,0
"/phylanx/access-variable$15$weights/2$30$13","access-variable/weights(30, 13)",1,495855,0,0
"/phylanx/access-variable$2$weights/2$19$66","access-variable/weights(19, 66)",0,0,0,0
"/phylanx/access-variable$3$pred/2$21$27","access-variable/pred(21, 27)",0,0,0,0
"/phylanx/access-variable$4$weights/2$21$58","access-variable/weights(21, 58)",750,625036911,0,0
"/phylanx/access-variable$5$error/2$22$27","access-variable/error(22, 27)",0,0,0,0
"/phylanx/access-variable$6$pred/2$22$34","access-variable/pred(22, 34)",750,468873463,0,0
