primitive_instance,count,time,direct_count,direct_time
/phylanx/access-argument#0#filepath/0#159,0,0,1,3683
/phylanx/access-argument#1#row_start/0#170,1,3466,0,0
/phylanx/access-argument#10#alpha/2#1084,750,4059065,0,0
/phylanx/access-argument#11#iterations/2#589,751,2433528,0,0
/phylanx/access-argument#12#enable_output/2#647,750,3638754,0,0
/phylanx/access-argument#2#row_stop/0#181,1,3300,0,0
/phylanx/access-argument#3#col_start/0#191,1,3786,0,0
/phylanx/access-argument#4#col_stop/0#202,1,3017,0,0
/phylanx/access-argument#5#filepath/1#138,0,0,1,1207
/phylanx/access-argument#6#row_start/1#149,1,3353,0,0
/phylanx/access-argument#7#row_stop/1#160,1,3190,0,0
/phylanx/access-argument#8#x/2#228,750,6227989,0,0
/phylanx/access-argument#8#x/2#301,750,6227989,0,0
/phylanx/access-argument#8#x/2#396,750,6227989,0,0
/phylanx/access-argument#8#x/2#451,750,6227989,0,0
/phylanx/access-argument#8#x/2#509,750,6227989,0,0
/phylanx/access-argument#8#x/2#815,750,6227989,0,0
/phylanx/access-argument#9#y/2#871,750,4495105,0,0
/phylanx/access-variable#0#weights/2#1064,750,151536776,0,0
/phylanx/access-variable#0#weights/2#1073,750,151536776,0,0
/phylanx/access-variable#0#weights/2#1217,750,151536776,0,0
/phylanx/access-variable#0#weights/2#689,750,151536776,0,0
/phylanx/access-variable#0#weights/2#818,750,151536776,0,0
/phylanx/access-variable#1#transx/2#953,750,144999954,0,0
/phylanx/access-variable#2#pred/2#787,750,135639431,0,0
/phylanx/access-variable#2#pred/2#864,750,135639431,0,0
/phylanx/access-variable#3#error/2#857,750,127885700,0,0
/phylanx/access-variable#3#error/2#961,750,127885700,0,0
/phylanx/access-variable#4#gradient/2#1092,0,0,0,0
/phylanx/access-variable#4#gradient/2#939,0,0,0,0
/phylanx/access-variable#5#step/2#1134,0,0,0,0
/phylanx/access-variable#5#step/2#1140,0,0,0,0
/phylanx/access-variable#5#step/2#582,0,0,0,0
/phylanx/access-variable#5#step/2#677,0,0,0,0
/phylanx/add#0/2#800,750,543207926,0,0
/phylanx/add#1/2#1140,750,195313565,0,0
/phylanx/block#0/0#0,0,0,1,786143
/phylanx/block#1/1#0,0,0,1,408831
/phylanx/block#2/2#0,0,0,1,379543
/phylanx/block#3/2#173,1,1138515,0,0
/phylanx/block#4/2#617,750,179379954,0,0
/phylanx/call-function#0#read_x/0#223,1,219600,0,0
/phylanx/call-function#1#read_y/1#188,1,164048,0,0
/phylanx/call-function#2#lra/2#1246,1,173115,0,0
/phylanx/constant#0/2#208,0,0,1,732176
/phylanx/constant#1/2#376,0,0,1,544276
/phylanx/constant#2/2#431,0,0,1,497261
/phylanx/constant#3/2#489,0,0,1,496095
/phylanx/cout#0/2#662,0,0,0,0
/phylanx/define-function#0#read_x/0#71,0,0,1,2753
/phylanx/define-function#1#read_y/1#71,0,0,1,875
/phylanx/define-function#2#lra/2#120,0,0,1,879
/phylanx/define-variable#0#weights/2#199,1502,103726097,0,0
/phylanx/define-variable#1#transx/2#283,751,53542951,0,0
/phylanx/define-variable#2#pred/2#370,751,52662337,0,0
/phylanx/define-variable#3#error/2#424,751,51150486,0,0
/phylanx/define-variable#4#gradient/2#479,751,51548393,0,0
/phylanx/define-variable#5#step/2#537,1502,102492291,0,0
/phylanx/div#0/2#793,750,615995327,0,0
/phylanx/dot#0/2#811,750,329056033,0,0
/phylanx/dot#1/2#949,750,400336617,0,0
/phylanx/exp#0/2#806,750,470268250,0,0
/phylanx/file_read_csv#0/0#145,1,17601390,0,0
/phylanx/file_read_csv#1/1#124,1,15761927,0,0
/phylanx/if#0/2#644,750,99827715,0,0
/phylanx/lt#0/2#582,751,296567089,0,0
/phylanx/minus#0/2#811,750,397781755,0,0
/phylanx/mul#0/2#1084,750,294160462,0,0
/phylanx/parallel_block#0/2#1018,750,1003665097,0,0
/phylanx/shape#0/2#222,1,315716,0,0
/phylanx/shape#1/2#390,1,166400,0,0
/phylanx/shape#2/2#445,1,152091,0,0
/phylanx/shape#3/2#503,1,154080,0,0
/phylanx/slice#0/0#139,1,18358439,0,0
/phylanx/slice#1/1#118,1,16089422,0,0
/phylanx/store#0/2#781,750,681258396,0,0
/phylanx/store#1/2#851,750,361878999,0,0
/phylanx/store#2/2#933,750,467810693,0,0
/phylanx/store#3/2#1058,750,620788179,0,0
/phylanx/store#4/2#1128,750,260994693,0,0
/phylanx/sub#0/2#864,750,294229210,0,0
/phylanx/sub#1/2#1073,750,555558968,0,0
/phylanx/transpose#0/2#291,0,0,1,603910
/phylanx/while#0/2#559,1,853660,0,0
