primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/2$19$40","add(19, 40)",750,1424827306,1
"/phylanx/__add$1/2$21$33","add(21, 33)",750,139059535,1
"/phylanx/__div$0/2$19$33","div(19, 33)",750,1484927770,1
"/phylanx/__lt$0/2$15$17","lt(15, 17)",751,261005791,1
"/phylanx/__minus$0/2$19$51","minus(19, 51)",750,1314227632,1
"/phylanx/__mul$0/2$20$47","mul(20, 47)",750,1068302675,1
"/phylanx/__sub$0/2$20$36","sub(20, 36)",750,1318958151,1
"/phylanx/__sub$1/2$20$67","sub(20, 67)",750,272907137,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,8286,1
"/phylanx/access-argument$1$row_start/0$7$25","access-argument/row_start(7, 25)",1,19326,1
"/phylanx/access-argument$10$x/2$11$38","access-argument/x(11, 38)",1,16921,1
"/phylanx/access-argument$11$x/2$12$46","access-argument/x(12, 46)",1,16661,1
"/phylanx/access-argument$12$iterations/2$15$24","access-argument/iterations(15, 24)",751,7035865,1
"/phylanx/access-argument$13$enable_output/2$17$24","access-argument/enable_output(17, 24)",750,8857719,1
"/phylanx/access-argument$14$x/2$19$55","access-argument/x(19, 55)",750,11551554,1
"/phylanx/access-argument$15$alpha/2$20$47","access-argument/alpha(20, 47)",750,6491134,1
"/phylanx/access-argument$16$y/2$20$74","access-argument/y(20, 74)",750,6931718,1
"/phylanx/access-argument$2$row_stop/0$7$36","access-argument/row_stop(7, 36)",1,7954,1
"/phylanx/access-argument$3$col_start/0$8$25","access-argument/col_start(8, 25)",1,10350,1
"/phylanx/access-argument$4$col_stop/0$8$36","access-argument/col_stop(8, 36)",1,7855,1
"/phylanx/access-argument$5$filepath/1$6$29","access-argument/filepath(6, 29)",1,14327,1
"/phylanx/access-argument$6$row_start/1$6$50","access-argument/row_start(6, 50)",1,13145,1
"/phylanx/access-argument$7$row_stop/1$6$61","access-argument/row_stop(6, 61)",1,7935,1
"/phylanx/access-argument$8$col_stop/1$6$72","access-argument/col_stop(6, 72)",1,8586,1
"/phylanx/access-argument$9$x/2$10$49","access-argument/x(10, 49)",1,18495,1
"/phylanx/access-function$0$read_x/0$10$5","access-function/read_x(10, 5)",1,5030,1
"/phylanx/access-function$1$read_y/1$8$5","access-function/read_y(8, 5)",1,3697,1
"/phylanx/access-function$2$lra_explicit/2$27$5","access-function/lra_explicit(27, 5)",1,3276,1
"/phylanx/access-variable$0$step/2$15$17","access-variable/step(15, 17)",751,9670808,1
"/phylanx/access-variable$1$step/2$17$54","access-variable/step(17, 54)",0,0,1
"/phylanx/access-variable$10$step/2$21$33","access-variable/step(21, 33)",750,7207024,1
"/phylanx/access-variable$11$weights/2$24$13","access-variable/weights(24, 13)",1,32140,1
"/phylanx/access-variable$2$weights/2$17$66","access-variable/weights(17, 66)",0,0,1
"/phylanx/access-variable$3$pred/2$19$27","access-variable/pred(19, 27)",0,0,1
"/phylanx/access-variable$4$weights/2$19$58","access-variable/weights(19, 58)",750,12333503,1
"/phylanx/access-variable$5$weights/2$20$27","access-variable/weights(20, 27)",0,0,1
"/phylanx/access-variable$6$weights/2$20$36","access-variable/weights(20, 36)",750,11613217,1
"/phylanx/access-variable$7$transx/2$20$59","access-variable/transx(20, 59)",750,12817515,1
"/phylanx/access-variable$8$pred/2$20$67","access-variable/pred(20, 67)",750,11071264,1
"/phylanx/access-variable$9$step/2$21$27","access-variable/step(21, 27)",0,0,1
"/phylanx/block$0/0$1$1","block(1, 1)",1,383553,-1
"/phylanx/block$1/1$1$1","block(1, 1)",1,55405,-1
"/phylanx/block$2/2$1$1","block(1, 1)",1,51407,-1
"/phylanx/block$3/2$9$9","block(9, 9)",1,4510523469,-1
"/phylanx/block$4/2$16$17","block(16, 17)",750,3975594751,-1
"/phylanx/constant$0/2$10$29","constant(10, 29)",1,952355,-1
"/phylanx/constant$1/2$12$26","constant(12, 26)",1,540339,-1
"/phylanx/cout$0/2$17$39","cout(17, 39)",0,0,-1
"/phylanx/define-variable$0$read_x/0$5$12","define-variable/read_x(5, 12)",1,97954,-1
"/phylanx/define-variable$1$read_y/1$5$12","define-variable/read_y(5, 12)",1,8055,-1
"/phylanx/define-variable$2$weights/2$10$20","define-variable/weights(10, 20)",1,1406471,-1
"/phylanx/define-variable$3$transx/2$11$20","define-variable/transx(11, 20)",1,718905,-1
"/phylanx/define-variable$4$pred/2$12$20","define-variable/pred(12, 20)",1,705359,-1
"/phylanx/define-variable$5$step/2$13$20","define-variable/step(13, 20)",1,83667,-1
"/phylanx/define-variable$6$lra_explicit/2$8$12","define-variable/lra_explicit(8, 12)",1,7615,-1
"/phylanx/dot$0/2$19$51","dot(19, 51)",750,1256593991,1
"/phylanx/dot$1/2$20$55","dot(20, 55)",750,824131133,1
"/phylanx/exp$0/2$19$46","exp(19, 46)",750,1375261910,1
"/phylanx/file_read_csv$0/0$6$15","file_read_csv(6, 15)",1,78294859846,-1
"/phylanx/file_read_csv$1/1$6$15","file_read_csv(6, 15)",1,77051624628,-1
"/phylanx/function$0$read_x/0$5$12","function/read_x(5, 12)",1,78296169875,1
"/phylanx/function$1$read_y/1$5$12","function/read_y(5, 12)",1,77051886572,1
"/phylanx/function$2$lra_explicit/2$8$12","function/lra_explicit(8, 12)",1,4510994676,1
