primitive_instance,display_name,count,time,eval_direct
"/phylanx/__gt$0/1$19$29","gt(19, 29)",8,189318,1
"/phylanx/__mul$0/1$22$45","mul(22, 45)",7,62205100,1
"/phylanx/__sub$0/1$25$89","sub(25, 89)",7,215052,0
"/phylanx/access-argument$0$n/1$19$34","access-argument/n(19, 34)",8,13448,1
"/phylanx/access-argument$1$n/1$23$65","access-argument/n(23, 65)",7,8255,1
"/phylanx/access-argument$2$n/1$25$95","access-argument/n(25, 95)",7,8541,1
"/phylanx/access-function$0$factorial/1$24$65","access-function/factorial(24, 65)",1,1471,1
"/phylanx/access-function$0$factorial/2$41$7","access-function/factorial(41, 7)",1,1471,1
"/phylanx/access-variable$0$result/1$21$45","access-variable/result(21, 45)",0,0,1
"/phylanx/access-variable$1$result/1$35$27","access-variable/result(35, 27)",8,20524,1
"/phylanx/access-variable$2$sys_argv/2$41$18","access-variable/sys_argv(41, 18)",1,5245,1
"/phylanx/apply$0/2$41$1","apply(41, 1)",1,20837219,1
"/phylanx/block$0/1$16$9","block(16, 9)",8,63034884,1
"/phylanx/block$1/1$32$43","block(32, 43)",1,3153,-1
"/phylanx/call-function$0$factorial/1$24$65","call-function/factorial(24, 65)",7,62149537,1
"/phylanx/define-variable$1$result/1$17$24","define-variable/result(17, 24)",1,18825,-1
"/phylanx/define-variable$2$factorial/1$14$5","define-variable/factorial(14, 5)",140685009258112,0,140684673721072
"/phylanx/function$0$factorial/1$14$5","function/factorial(14, 5)",8,63278254,1
"/phylanx/if$0/1$18$17","if(18, 17)",8,62622635,1
"/phylanx/lambda$0/1$14$5","lambda(14, 5)",8,63172773,1
"/phylanx/store$0/1$20$29","store(20, 29)",7,62269857,1
"/phylanx/variable$0$sys_argv/0$0$0","variable/sys_argv(0, 0)",1,4340,1
"/phylanx/variable$1$result/1$17$24","variable/result(17, 24)",8,17598,1
