primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/2$44$32","add(44, 32)",3,580312,1
"/phylanx/__add$1/2$45$32","add(45, 32)",3,328744,1
"/phylanx/__add$10/2$71$30","add(71, 30)",3,53675,1
"/phylanx/__add$2/2$52$38","add(52, 38)",30,3605704,1
"/phylanx/__add$3/2$53$60","add(53, 60)",30,1574924,1
"/phylanx/__add$4/2$54$52","add(54, 52)",30,438469,1
"/phylanx/__add$5/2$55$38","add(55, 38)",30,443047,1
"/phylanx/__add$6/2$64$38","add(64, 38)",300,18578779,1
"/phylanx/__add$7/2$65$60","add(65, 60)",300,4776749,1
"/phylanx/__add$8/2$66$52","add(66, 52)",300,3153814,1
"/phylanx/__add$9/2$67$38","add(67, 38)",300,3384603,1
"/phylanx/__lt$0/2$35$19","lt(35, 19)",4,205540,1
"/phylanx/__lt$1/2$47$27","lt(47, 27)",33,732476,1
"/phylanx/__lt$2/2$59$27","lt(59, 27)",303,5024296,1
"/phylanx/__mul$0/2$10$26","mul(10, 26)",1,46134626,-1
"/phylanx/__mul$1/2$44$55","mul(44, 55)",3,105886,1
"/phylanx/__mul$2/2$45$55","mul(45, 55)",3,79612,1
"/phylanx/__ne$0/2$51$40","ne(51, 40)",30,30916817,0
"/phylanx/__ne$1/2$63$40","ne(63, 40)",300,3873461,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,4818,1
"/phylanx/access-argument$1$row_start/0$6$50","access-argument/row_start(6, 50)",1,1198,1
"/phylanx/access-argument$10$num_factors/2$22$51","access-argument/num_factors(22, 51)",1,775,1
"/phylanx/access-argument$11$num_factors/2$23$34","access-argument/num_factors(23, 34)",1,5883,1
"/phylanx/access-argument$12$num_factors/2$30$49","access-argument/num_factors(30, 49)",1,963,1
"/phylanx/access-argument$13$num_factors/2$30$62","access-argument/num_factors(30, 62)",1,263,1
"/phylanx/access-argument$14$num_factors/2$31$49","access-argument/num_factors(31, 49)",1,705,1
"/phylanx/access-argument$15$num_factors/2$31$62","access-argument/num_factors(31, 62)",1,304,1
"/phylanx/access-argument$16$num_factors/2$32$47","access-argument/num_factors(32, 47)",1,916,1
"/phylanx/access-argument$17$num_factors/2$32$60","access-argument/num_factors(32, 60)",1,266,1
"/phylanx/access-argument$18$num_factors/2$33$47","access-argument/num_factors(33, 47)",1,1008,1
"/phylanx/access-argument$19$iterations/2$35$23","access-argument/iterations(35, 23)",4,3483,1
"/phylanx/access-argument$2$row_stop/0$6$62","access-argument/row_stop(6, 62)",1,356,1
"/phylanx/access-argument$20$enable_output/2$37$24","access-argument/enable_output(37, 24)",3,2416,1
"/phylanx/access-argument$21$regularization/2$44$55","access-argument/regularization(44, 55)",3,2489,1
"/phylanx/access-argument$22$regularization/2$45$55","access-argument/regularization(45, 55)",3,2383,1
"/phylanx/access-argument$3$col_start/0$7$25","access-argument/col_start(7, 25)",1,1038,1
"/phylanx/access-argument$4$col_stop/0$7$37","access-argument/col_stop(7, 37)",1,316,1
"/phylanx/access-argument$5$ratings/2$8$37","access-argument/ratings(8, 37)",1,1983,1
"/phylanx/access-argument$6$ratings/2$9$37","access-argument/ratings(9, 37)",1,1000,1
"/phylanx/access-argument$7$alpha/2$10$26","access-argument/alpha(10, 26)",1,1000,1
"/phylanx/access-argument$8$ratings/2$10$34","access-argument/ratings(10, 34)",1,577,1
"/phylanx/access-argument$9$num_factors/2$21$51","access-argument/num_factors(21, 51)",1,1044,1
"/phylanx/access-function$0$read_x/1$9$5","access-function/read_x(9, 5)",1,520,1
"/phylanx/access-function$1$als_explicit/3$77$5","access-function/als_explicit(77, 5)",1,197,1
"/phylanx/access-variable$0$num_items/2$12$52","access-variable/num_items(12, 52)",1,4587,1
"/phylanx/access-variable$1$num_users/2$13$52","access-variable/num_users(13, 52)",1,3162,1
"/phylanx/access-variable$10$num_items/2$24$34","access-variable/num_items(24, 34)",1,9447,1
"/phylanx/access-variable$11$num_users/2$25$34","access-variable/num_users(25, 34)",1,8263,1
"/phylanx/access-variable$12$k/2$35$19","access-variable/k(35, 19)",4,12380,1
"/phylanx/access-variable$13$k/2$39$56","access-variable/k(39, 56)",0,0,1
