primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/2$19$40","add(19, 40)",750,118742121,1
"/phylanx/__add$1/2$21$33","add(21, 33)",750,8487579,1
"/phylanx/__div$0/2$19$33","div(19, 33)",750,127945040,1
"/phylanx/__lt$0/2$15$17","lt(15, 17)",751,13600494,1
"/phylanx/__minus$0/2$19$51","minus(19, 51)",750,88024838,1
"/phylanx/__mul$0/2$20$47","mul(20, 47)",750,46729234,1
"/phylanx/__sub$0/2$20$36","sub(20, 36)",750,60652761,1
"/phylanx/__sub$1/2$20$67","sub(20, 67)",750,14631252,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,932,1
"/phylanx/access-argument$1$row_start/0$7$25","access-argument/row_start(7, 25)",1,3796,1
"/phylanx/access-argument$10$x/2$11$38","access-argument/x(11, 38)",1,930,1
"/phylanx/access-argument$11$x/2$12$46","access-argument/x(12, 46)",1,1219,1
"/phylanx/access-argument$12$iterations/2$15$24","access-argument/iterations(15, 24)",751,401360,1
"/phylanx/access-argument$13$enable_output/2$17$24","access-argument/enable_output(17, 24)",750,534745,1
"/phylanx/access-argument$14$x/2$19$55","access-argument/x(19, 55)",750,1484015,1
"/phylanx/access-argument$15$alpha/2$20$47","access-argument/alpha(20, 47)",750,422117,1
"/phylanx/access-argument$16$y/2$20$74","access-argument/y(20, 74)",750,284108,1
"/phylanx/access-argument$2$row_stop/0$7$36","access-argument/row_stop(7, 36)",1,522,1
"/phylanx/access-argument$3$col_start/0$8$25","access-argument/col_start(8, 25)",1,585,1
"/phylanx/access-argument$4$col_stop/0$8$36","access-argument/col_stop(8, 36)",1,297,1
"/phylanx/access-argument$5$filepath/1$6$29","access-argument/filepath(6, 29)",1,543,1
"/phylanx/access-argument$6$row_start/1$6$50","access-argument/row_start(6, 50)",1,687,1
"/phylanx/access-argument$7$row_stop/1$6$61","access-argument/row_stop(6, 61)",1,336,1
"/phylanx/access-argument$8$col_stop/1$6$72","access-argument/col_stop(6, 72)",1,504,1
"/phylanx/access-argument$9$x/2$10$49","access-argument/x(10, 49)",1,1031,1
"/phylanx/access-function$0$read_x/0$10$5","access-function/read_x(10, 5)",1,574,1
"/phylanx/access-function$1$read_y/1$8$5","access-function/read_y(8, 5)",1,202,1
"/phylanx/access-function$2$lra_explicit/2$27$5","access-function/lra_explicit(27, 5)",1,228,1
"/phylanx/access-variable$0$step/2$15$17","access-variable/step(15, 17)",751,887093,1
"/phylanx/access-variable$1$step/2$17$54","access-variable/step(17, 54)",0,0,1
"/phylanx/access-variable$10$step/2$21$33","access-variable/step(21, 33)",750,793558,1
"/phylanx/access-variable$11$weights/2$24$13","access-variable/weights(24, 13)",1,2642,1
"/phylanx/access-variable$2$weights/2$17$66","access-variable/weights(17, 66)",0,0,1
"/phylanx/access-variable$3$pred/2$19$27","access-variable/pred(19, 27)",0,0,1
"/phylanx/access-variable$4$weights/2$19$58","access-variable/weights(19, 58)",750,875551,1
"/phylanx/access-variable$5$weights/2$20$27","access-variable/weights(20, 27)",0,0,1
"/phylanx/access-variable$6$weights/2$20$36","access-variable/weights(20, 36)",750,898678,1
"/phylanx/access-variable$7$transx/2$20$59","access-variable/transx(20, 59)",750,1104207,1
"/phylanx/access-variable$8$pred/2$20$67","access-variable/pred(20, 67)",750,944135,1
"/phylanx/access-variable$9$step/2$21$27","access-variable/step(21, 27)",0,0,1
"/phylanx/block$0/0$1$1","block(1, 1)",1,37304,-1
"/phylanx/block$1/1$1$1","block(1, 1)",1,4195,-1
"/phylanx/block$2/2$1$1","block(1, 1)",1,3777,-1
"/phylanx/block$3/2$9$9","block(9, 9)",1,352015832,-1
"/phylanx/block$4/2$16$17","block(16, 17)",750,308667382,-1
"/phylanx/constant$0/2$10$29","constant(10, 29)",1,127869,-1
"/phylanx/constant$1/2$12$26","constant(12, 26)",1,50808,-1
