Primitive Performance Counter Data in CSV:
primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/2$44$32","add(44, 32)",3,639898,1
"/phylanx/__add$1/2$45$32","add(45, 32)",3,357902,1
"/phylanx/__add$10/2$71$30","add(71, 30)",3,53833,1
"/phylanx/__add$2/2$52$38","add(52, 38)",30,3664175,1
"/phylanx/__add$3/2$53$60","add(53, 60)",30,1452442,1
"/phylanx/__add$4/2$54$52","add(54, 52)",30,444466,1
"/phylanx/__add$5/2$55$38","add(55, 38)",30,467107,1
"/phylanx/__add$6/2$64$38","add(64, 38)",300,19013613,1
"/phylanx/__add$7/2$65$60","add(65, 60)",300,4672553,1
"/phylanx/__add$8/2$66$52","add(66, 52)",300,3123142,1
"/phylanx/__add$9/2$67$38","add(67, 38)",300,3416049,1
"/phylanx/__lt$0/2$35$19","lt(35, 19)",4,226298,1
"/phylanx/__lt$1/2$47$27","lt(47, 27)",33,771035,1
"/phylanx/__lt$2/2$59$27","lt(59, 27)",303,5116963,1
"/phylanx/__mul$0/2$10$26","mul(10, 26)",1,238817,-1
"/phylanx/__mul$1/2$44$55","mul(44, 55)",3,96594,1
"/phylanx/__mul$2/2$45$55","mul(45, 55)",3,89129,1
"/phylanx/__ne$0/2$51$40","ne(51, 40)",30,612636,1
"/phylanx/__ne$1/2$63$40","ne(63, 40)",300,4081186,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,689,1
"/phylanx/access-argument$1$row_start/0$6$50","access-argument/row_start(6, 50)",1,4893,1
"/phylanx/access-argument$10$num_factors/2$22$51","access-argument/num_factors(22, 51)",1,1077,1
"/phylanx/access-argument$11$num_factors/2$23$34","access-argument/num_factors(23, 34)",1,5710,1
"/phylanx/access-argument$12$num_factors/2$30$49","access-argument/num_factors(30, 49)",1,1067,1
"/phylanx/access-argument$13$num_factors/2$30$62","access-argument/num_factors(30, 62)",1,397,1
"/phylanx/access-argument$14$num_factors/2$31$49","access-argument/num_factors(31, 49)",1,1517,1
"/phylanx/access-argument$15$num_factors/2$31$62","access-argument/num_factors(31, 62)",1,267,1
"/phylanx/access-argument$16$num_factors/2$32$47","access-argument/num_factors(32, 47)",1,937,1
"/phylanx/access-argument$17$num_factors/2$32$60","access-argument/num_factors(32, 60)",1,317,1
"/phylanx/access-argument$18$num_factors/2$33$47","access-argument/num_factors(33, 47)",1,877,1
"/phylanx/access-argument$19$iterations/2$35$23","access-argument/iterations(35, 23)",4,2494,1
"/phylanx/access-argument$2$row_stop/0$6$62","access-argument/row_stop(6, 62)",1,386,1
"/phylanx/access-argument$20$enable_output/2$37$24","access-argument/enable_output(37, 24)",3,2265,1
"/phylanx/access-argument$21$regularization/2$44$55","access-argument/regularization(44, 55)",3,2286,1
"/phylanx/access-argument$22$regularization/2$45$55","access-argument/regularization(45, 55)",3,2416,1
"/phylanx/access-argument$3$col_start/0$7$25","access-argument/col_start(7, 25)",1,913,1
"/phylanx/access-argument$4$col_stop/0$7$37","access-argument/col_stop(7, 37)",1,212,1
"/phylanx/access-argument$5$ratings/2$8$37","access-argument/ratings(8, 37)",1,2629,1
"/phylanx/access-argument$6$ratings/2$9$37","access-argument/ratings(9, 37)",1,1203,1
"/phylanx/access-argument$7$alpha/2$10$26","access-argument/alpha(10, 26)",1,11274,1
"/phylanx/access-argument$8$ratings/2$10$34","access-argument/ratings(10, 34)",1,886,1
"/phylanx/access-argument$9$num_factors/2$21$51","access-argument/num_factors(21, 51)",1,983,1
"/phylanx/access-function$0$read_x/1$9$5","access-function/read_x(9, 5)",1,331,1
"/phylanx/access-function$1$als_explicit/3$77$5","access-function/als_explicit(77, 5)",1,116,1
"/phylanx/access-variable$0$num_items/2$12$52","access-variable/num_items(12, 52)",1,9480,1
"/phylanx/access-variable$1$num_users/2$13$52","access-variable/num_users(13, 52)",1,6777,1
"/phylanx/access-variable$10$num_items/2$24$34","access-variable/num_items(24, 34)",1,8603,1
"/phylanx/access-variable$11$num_users/2$25$34","access-variable/num_users(25, 34)",1,8790,1
"/phylanx/access-variable$12$k/2$35$19","access-variable/k(35, 19)",4,12520,1
"/phylanx/access-variable$13$k/2$39$56","access-variable/k(39, 56)",0,0,1
