primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/2$19$40","add(19, 40)",750,266702447,-1
"/phylanx/__add$1/2$21$33","add(21, 33)",750,14670358,1
"/phylanx/__div$0/2$19$33","div(19, 33)",750,291607601,-1
"/phylanx/__lt$0/2$15$17","lt(15, 17)",751,19791821,1
"/phylanx/__minus$0/2$19$51","minus(19, 51)",750,154346150,1
"/phylanx/__mul$0/2$20$47","mul(20, 47)",750,62367562,1
"/phylanx/__sub$0/2$20$36","sub(20, 36)",750,85737387,1
"/phylanx/__sub$1/2$20$67","sub(20, 67)",750,20280467,1
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,2691,1
"/phylanx/access-argument$1$row_start/0$7$25","access-argument/row_start(7, 25)",1,1267,1
"/phylanx/access-argument$10$x/2$11$38","access-argument/x(11, 38)",1,2220,1
"/phylanx/access-argument$11$x/2$12$46","access-argument/x(12, 46)",1,2772,1
"/phylanx/access-argument$12$iterations/2$15$24","access-argument/iterations(15, 24)",751,454027,1
"/phylanx/access-argument$13$enable_output/2$17$24","access-argument/enable_output(17, 24)",750,560749,1
"/phylanx/access-argument$14$x/2$19$55","access-argument/x(19, 55)",750,722289,1
"/phylanx/access-argument$15$alpha/2$20$47","access-argument/alpha(20, 47)",750,378858,1
"/phylanx/access-argument$16$y/2$20$74","access-argument/y(20, 74)",750,350592,1
"/phylanx/access-argument$2$row_stop/0$7$36","access-argument/row_stop(7, 36)",1,450,1
"/phylanx/access-argument$3$col_start/0$8$25","access-argument/col_start(8, 25)",1,847,1
"/phylanx/access-argument$4$col_stop/0$8$36","access-argument/col_stop(8, 36)",1,451,1
"/phylanx/access-argument$5$filepath/1$6$29","access-argument/filepath(6, 29)",1,1953,1
"/phylanx/access-argument$6$row_start/1$6$50","access-argument/row_start(6, 50)",1,1747,1
"/phylanx/access-argument$7$row_stop/1$6$61","access-argument/row_stop(6, 61)",1,800,1
"/phylanx/access-argument$8$col_stop/1$6$72","access-argument/col_stop(6, 72)",1,1823,1
"/phylanx/access-argument$9$x/2$10$49","access-argument/x(10, 49)",1,2501,1
"/phylanx/access-function$0$read_x/0$10$5","access-function/read_x(10, 5)",1,1125,1
"/phylanx/access-function$1$read_y/1$8$5","access-function/read_y(8, 5)",1,456,1
"/phylanx/access-function$2$lra_explicit/2$27$5","access-function/lra_explicit(27, 5)",1,462,1
"/phylanx/access-variable$0$step/2$15$17","access-variable/step(15, 17)",751,6454893,1
"/phylanx/access-variable$1$step/2$17$54","access-variable/step(17, 54)",0,0,1
"/phylanx/access-variable$10$step/2$21$33","access-variable/step(21, 33)",750,6791596,1
"/phylanx/access-variable$11$weights/2$24$13","access-variable/weights(24, 13)",1,17215,1
"/phylanx/access-variable$2$weights/2$17$66","access-variable/weights(17, 66)",0,0,1
"/phylanx/access-variable$3$pred/2$19$27","access-variable/pred(19, 27)",0,0,1
"/phylanx/access-variable$4$weights/2$19$58","access-variable/weights(19, 58)",750,6845352,1
"/phylanx/access-variable$5$weights/2$20$27","access-variable/weights(20, 27)",0,0,1
"/phylanx/access-variable$6$weights/2$20$36","access-variable/weights(20, 36)",750,9782996,1
"/phylanx/access-variable$7$transx/2$20$59","access-variable/transx(20, 59)",750,8799002,1
"/phylanx/access-variable$8$pred/2$20$67","access-variable/pred(20, 67)",750,5800047,1
"/phylanx/access-variable$9$step/2$21$27","access-variable/step(21, 27)",0,0,1
"/phylanx/block$0/0$1$1","block(1, 1)",1,80276,-1
"/phylanx/block$1/1$1$1","block(1, 1)",1,16602,-1
"/phylanx/block$2/2$1$1","block(1, 1)",1,13264,-1
"/phylanx/block$3/2$9$9","block(9, 9)",1,591052967,-1
"/phylanx/block$4/2$16$17","block(16, 17)",750,607159105,0
"/phylanx/constant$0/2$10$29","constant(10, 29)",1,295788,-1
"/phylanx/constant$1/2$12$26","constant(12, 26)",1,120373,-1
